1,593775.06,2463729.64,0.00,CORNER
2,593773.06,2463729.71,0.00,path
3,593771.07,2463729.78,0.00,path
4,593769.07,2463729.84,0.00,path
5,593767.08,2463729.91,0.00,path
6,593765.08,2463729.98,0.00,path
7,593763.09,2463730.05,0.00,path
8,593761.09,2463730.12,0.00,path
9,593759.10,2463730.19,0.00,path
10,593757.10,2463730.25,0.00,path
11,593755.11,2463730.32,0.00,path
12,593753.11,2463730.39,0.00,path
13,593751.12,2463730.46,0.00,path
14,593749.12,2463730.53,0.00,path
15,593747.13,2463730.60,0.00,path
16,593745.13,2463730.66,0.00,path
17,593743.14,2463730.73,0.00,path
18,593741.14,2463730.80,0.00,path
19,593739.15,2463730.87,0.00,path
20,593737.15,2463730.94,0.00,path
21,593735.16,2463731.00,0.00,path
22,593733.16,2463731.07,0.00,path
23,593731.16,2463731.14,0.00,path
24,593729.17,2463731.21,0.00,path
25,593727.17,2463731.28,0.00,path
26,593725.18,2463731.35,0.00,path
27,593723.18,2463731.41,0.00,path
28,593721.19,2463731.48,0.00,path
29,593719.19,2463731.55,0.00,path
30,593717.20,2463731.62,0.00,path
31,593715.20,2463731.69,0.00,path
32,593713.21,2463731.76,0.00,path
33,593711.21,2463731.82,0.00,path
34,593709.22,2463731.89,0.00,path
35,593707.22,2463731.96,0.00,path
36,593705.23,2463732.03,0.00,path
37,593703.23,2463732.10,0.00,path
38,593701.24,2463732.17,0.00,path
39,593699.24,2463732.23,0.00,path
40,593697.25,2463732.30,0.00,path
41,593695.25,2463732.37,0.00,CORNER
42,593696.53,2463730.86,0.00,path
43,593697.81,2463729.35,0.00,path
44,593699.10,2463727.84,0.00,path
45,593700.38,2463726.33,0.00,path
46,593701.66,2463724.82,0.00,path
47,593702.94,2463723.31,0.00,path
48,593704.23,2463721.80,0.00,path
49,593705.51,2463720.29,0.00,path
50,593706.79,2463718.78,0.00,path
51,593708.07,2463717.27,0.00,path
52,593709.36,2463715.76,0.00,path
53,593710.64,2463714.25,0.00,path
54,593711.92,2463712.74,0.00,path
55,593713.20,2463711.23,0.00,path
56,593714.49,2463709.72,0.00,path
57,593715.77,2463708.21,0.00,path
58,593717.05,2463706.70,0.00,path
59,593718.33,2463705.19,0.00,path
60,593719.62,2463703.68,0.00,path
61,593720.90,2463702.17,0.00,path
62,593722.18,2463700.66,0.00,path
63,593723.46,2463699.14,0.00,path
64,593724.75,2463697.63,0.00,path
65,593726.03,2463696.12,0.00,path
66,593727.31,2463694.61,0.00,path
67,593728.59,2463693.10,0.00,path
68,593729.88,2463691.59,0.00,path
69,593731.16,2463690.08,0.00,path
70,593732.44,2463688.57,0.00,path
71,593733.72,2463687.06,0.00,path
72,593735.01,2463685.55,0.00,path
73,593736.29,2463684.04,0.00,path
74,593737.57,2463682.53,0.00,path
75,593738.85,2463681.02,0.00,path
76,593740.14,2463679.51,0.00,path
77,593741.42,2463678.00,0.00,path
78,593742.70,2463676.49,0.00,path
79,593743.98,2463674.98,0.00,path
80,593745.27,2463673.47,0.00,path
81,593746.55,2463671.96,0.00,path
82,593747.83,2463670.45,0.00,path
83,593749.11,2463668.94,0.00,path
84,593750.40,2463667.43,0.00,path
85,593751.68,2463665.92,0.00,path
86,593752.96,2463664.41,0.00,path
87,593754.24,2463662.90,0.00,path
88,593755.52,2463661.39,0.00,path
89,593756.81,2463659.88,0.00,path
90,593758.09,2463658.37,0.00,path
91,593759.37,2463656.86,0.00,path
92,593760.65,2463655.35,0.00,path
93,593761.94,2463653.84,0.00,path
94,593763.22,2463652.33,0.00,path
95,593764.50,2463650.82,0.00,path
96,593765.78,2463649.31,0.00,path
97,593767.07,2463647.80,0.00,path
98,593768.35,2463646.29,0.00,path
99,593769.63,2463644.78,0.00,path
100,593770.91,2463643.27,0.00,path
101,593772.20,2463641.76,0.00,path
102,593773.48,2463640.25,0.00,path
103,593774.76,2463638.74,0.00,path
104,593776.04,2463637.23,0.00,path
105,593777.33,2463635.72,0.00,path
106,593778.61,2463634.20,0.00,path
107,593779.89,2463632.69,0.00,path
108,593781.17,2463631.18,0.00,path
109,593782.46,2463629.67,0.00,path
110,593783.74,2463628.16,0.00,path
111,593785.02,2463626.65,0.00,path
112,593786.30,2463625.14,0.00,path
113,593787.59,2463623.63,0.00,path
114,593788.87,2463622.12,0.00,path
115,593790.15,2463620.61,0.00,path
116,593791.43,2463619.10,0.00,path
117,593792.72,2463617.59,0.00,path
118,593794.00,2463616.08,0.00,path
119,593795.28,2463614.57,0.00,path
120,593796.56,2463613.06,0.00,path
121,593797.85,2463611.55,0.00,path
122,593799.13,2463610.04,0.00,path
123,593800.41,2463608.53,0.00,path
124,593801.69,2463607.02,0.00,path
125,593802.98,2463605.51,0.00,path
126,593804.26,2463604.00,0.00,path
127,593805.54,2463602.49,0.00,CORNER
128,593806.95,2463603.51,0.00,path
129,593808.35,2463604.53,0.00,path
130,593809.76,2463605.55,0.00,path
131,593811.16,2463606.57,0.00,path
132,593812.57,2463607.59,0.00,CORNER
133,593814.12,2463608.38,0.00,path
134,593815.66,2463609.17,0.00,path
135,593817.21,2463609.96,0.00,path
136,593818.75,2463610.75,0.00,path
137,593820.30,2463611.54,0.00,CORNER
138,593821.95,2463612.08,0.00,path
139,593823.60,2463612.62,0.00,path
140,593825.25,2463613.15,0.00,path
141,593826.90,2463613.69,0.00,path
142,593828.55,2463614.23,0.00,CORNER
143,593830.26,2463614.51,0.00,path
144,593831.98,2463614.78,0.00,path
145,593833.69,2463615.06,0.00,path
146,593835.41,2463615.33,0.00,path
147,593837.12,2463615.61,0.00,CORNER
148,593838.86,2463615.61,0.00,path
149,593840.59,2463615.62,0.00,path
150,593842.33,2463615.62,0.00,path
151,593844.06,2463615.63,0.00,path
152,593845.80,2463615.63,0.00,CORNER
153,593847.52,2463615.36,0.00,path
154,593849.23,2463615.09,0.00,path
155,593850.95,2463614.83,0.00,path
156,593852.66,2463614.56,0.00,path
157,593854.38,2463614.29,0.00,CORNER
158,593854.48,2463616.26,0.00,path
159,593854.58,2463618.24,0.00,path
160,593854.68,2463620.21,0.00,path
